Trein,2014,Drenthe,0.4
Trein,2010,Overijssel,0.9
Trein,2011,Overijssel,1.1
Trein,2012,Overijssel,0.9
Trein,2013,Overijssel,0.9
Trein,2014,Overijssel,1.4
Trein,2010,Flevoland,0.5
Trein,2011,Flevoland,0.4
Trein,2012,Flevoland,0.4
Trein,2013,Flevoland,0.4
Trein,2014,Flevoland,0.5
Trein,2010,Gelderland,1.9
Trein,2011,Gelderland,1.7
Trein,2012,Gelderland,1.7
Trein,2013,Gelderland,1.8
Trein,2014,Gelderland,2.3
Trein,2010,Utrecht,1.4
Trein,2011,Utrecht,1.5
Trein,2012,Utrecht,1.7
Trein,2013,Utrecht,1.9
Trein,2014,Utrecht,1.7
Trein,2010,Noord-Holland,3.1
Trein,2011,Noord-Holland,3
Trein,2012,Noord-Holland,3.2
Trein,2013,Noord-Holland,3.5
Trein,2014,Noord-Holland,2.7
Trein,2010,Zuid-Holland,2.9
Trein,2011,Zuid-Holland,3.4
Trein,2012,Zuid-Holland,3.5
Trein,2013,Zuid-Holland,4.1
Trein,2014,Zuid-Holland,3
Trein,2010,Zeeland,0.2
Trein,2011,Zeeland,0.2
Trein,2012,Zeeland,0.2
Trein,2013,Zeeland,0.3
Trein,2014,Zeeland,0.2
Trein,2010,Noord-Brabant,1.5
Trein,2011,Noord-Brabant,2.4
Trein,2012,Noord-Brabant,2
Trein,2013,Noord-Brabant,2.4
Trein,2014,Noord-Brabant,2
Trein,2010,Limburg,0.9
Trein,2011,Limburg,1.2
Trein,2012,Limburg,0.8
Trein,2013,Limburg,0.8
Trein,2014,Limburg,1
Bus/tram/metro,2010,Nederland,5.7
Bus/tram/metro,2011,Nederland,5.9
Bus/tram/metro,2012,Nederland,5.3
Bus/tram/metro,2013,Nederland,5.5
Bus/tram/metro,2014,Nederland,5.4
Bus/tram/metro,2010,Groningen,0.2
Bus/tram/metro,2011,Groningen,0.2
Bus/tram/metro,2012,Groningen,0.3
Bus/tram/metro,2013,Groningen,0.2
