Totaal;woensdag;2011;Gelderland;1395;46
Totaal;woensdag;2012;Gelderland;1540;48,4
Totaal;woensdag;2013;Gelderland;1489;52
Totaal;woensdag;2014;Gelderland;1783;59,6
Totaal;woensdag;2010;Utrecht;1550;55,5
Totaal;woensdag;2011;Utrecht;1465;56,9
Totaal;woensdag;2012;Utrecht;1881;59
Totaal;woensdag;2013;Utrecht;1589;58,3
Totaal;woensdag;2014;Utrecht;1584;57,4
Totaal;woensdag;2010;Noord-Holland;1480;56,9
Totaal;woensdag;2011;Noord-Holland;1547;56,2
Totaal;woensdag;2012;Noord-Holland;1426;56,3
Totaal;woensdag;2013;Noord-Holland;1392;56,8
Totaal;woensdag;2014;Noord-Holland;1550;55
Totaal;woensdag;2010;Zuid-Holland;1313;52,9
Totaal;woensdag;2011;Zuid-Holland;1432;58,2
Totaal;woensdag;2012;Zuid-Holland;1310;49,5
Totaal;woensdag;2013;Zuid-Holland;1409;53
Totaal;woensdag;2014;Zuid-Holland;1384;55,3
Totaal;woensdag;2010;Zeeland;1384;49,1
Totaal;woensdag;2011;Zeeland;1283;41,8
Totaal;woensdag;2012;Zeeland;1652;49
Totaal;woensdag;2013;Zeeland;1493;45,8
Totaal;woensdag;2014;Zeeland;1698;54,5
Totaal;woensdag;2010;Noord-Brabant;1523;50,3
Totaal;woensdag;2011;Noord-Brabant;1545;51,1
Totaal;woensdag;2012;Noord-Brabant;1387;47,3
Totaal;woensdag;2013;Noord-Brabant;1457;51,2
Totaal;woensdag;2014;Noord-Brabant;1671;55,3
Totaal;woensdag;2010;Limburg;1738;53,2
Totaal;woensdag;2011;Limburg;1607;49,4
Totaal;woensdag;2012;Limburg;1273;44,7
Totaal;woensdag;2013;Limburg;1430;45,1
Totaal;woensdag;2014;Limburg;1455;49
Totaal;donderdag;2010;Nederland;1487;53,3
Totaal;donderdag;2011;Nederland;1553;51,8
Totaal;donderdag;2012;Nederland;1540;51,8
Totaal;donderdag;2013;Nederland;1573;52,1
Totaal;donderdag;2014;Nederland;1566;51,8
Totaal;donderdag;2010;Groningen;1590;53,4
Totaal;donderdag;2011;Groningen;1731;54,8
Totaal;donderdag;2012;Groningen;1724;54,5
Totaal;donderdag;2013;Groningen;1553;48,7
Totaal;donderdag;2014;Groningen;1786;53,7
Totaal;donderdag;2010;Friesland;1718;50
Totaal;donderdag;2011;Friesland;1640;49,1
Totaal;donderdag;2012;Friesland;1579;48,1
Totaal;donderdag;2013;Friesland;1778;49,8
Totaal;donderdag;2014;Friesland;1842;52,9
Totaal;donderdag;2010;Drenthe;1897;54,7
Totaal;donderdag;2011;Drenthe;1897;51,3
Totaal;donderdag;2012;Drenthe;1859;52,6
Totaal;donderdag;2013;Drenthe;1728;49,6
Totaal;donderdag;2014;Drenthe;1724;47,6
Totaal;donderdag;2010;Overijssel;1497;53,4
Totaal;donderdag;2011;Overijssel;1567;49,9
Totaal;donderdag;2012;Overijssel;1554;48,7
Totaal;donderdag;2013;Overijssel;1578;49,1
Totaal;donderdag;2014;Overijssel;1812;52,9
Totaal;donderdag;2010;Flevoland;1645;50,2
Totaal;donderdag;2011;Flevoland;1932;54
Totaal;donderdag;2012;Flevoland;1654;52,4
Totaal;donderdag;2013;Flevoland;1741;47,8
Totaal;donderdag;2014;Flevoland;1928;55,4
Totaal;donderdag;2010;Gelderland;1597;51,9
Totaal;donderdag;2011;Gelderland;1722;51,3
Totaal;donderdag;2012;Gelderland;1522;46,3
Totaal;donderdag;2013;Gelderland;1444;47,7
Totaal;donderdag;2014;Gelderland;1635;49
Totaal;donderdag;2010;Utrecht;1579;60,1
Totaal;donderdag;2011;Utrecht;1350;50,3
Totaal;donderdag;2012;Utrecht;1456;49,8
Totaal;donderdag;2013;Utrecht;1615;55,8
Totaal;donderdag;2014;Utrecht;1763;61,8
Totaal;donderdag;2010;Noord-Holland;1368;54,9
Totaal;donderdag;2011;Noord-Holland;1465;54,3
Totaal;donderdag;2012;Noord-Holland;1357;54,1
Totaal;donderdag;2013;Noord-Holland;1513;53,8
Totaal;donderdag;2014;Noord-Holland;1253;49
Totaal;donderdag;2010;Zuid-Holland;1358;55,7
Totaal;donderdag;2011;Zuid-Holland;1441;55,9
Totaal;donderdag;2012;Zuid-Holland;1520;54,1
Totaal;donderdag;2013;Zuid-Holland;1417;53,6
Totaal;donderdag;2014;Zuid-Holland;1493;53,1
Totaal;donderdag;2010;Zeeland;1735;52
Totaal;donderdag;2011;Zeeland;1434;42,8
Totaal;donderdag;2012;Zeeland;1803;52,2
Totaal;donderdag;2013;Zeeland;1778;51,5
Totaal;donderdag;2014;Zeeland;1651;49
Totaal;donderdag;2010;Noord-Brabant;1548;51,2
Totaal;donderdag;2011;Noord-Brabant;1636;49,2
Totaal;donderdag;2012;Noord-Brabant;1668;52,4
Totaal;donderdag;2013;Noord-Brabant;1825;54
Totaal;donderdag;2014;Noord-Brabant;1643;51,3
Totaal;donderdag;2010;Limburg;1226;44,4
Totaal;donderdag;2011;Limburg;1457;45,7
Totaal;donderdag;2012;Limburg;1482;53,4
Totaal;donderdag;2013;Limburg;1538;51,2
Totaal;donderdag;2014;Limburg;1293;49,1
Totaal;vrijdag;2010;Nederland;1560;55,2
Totaal;vrijdag;2011;Nederland;1676;55,5
Totaal;vrijdag;2012;Nederland;1566;53
Totaal;vrijdag;2013;Nederland;1581;51,8
Totaal;vrijdag;2014;Nederland;1612;54
Totaal;vrijdag;2010;Groningen;1837;62,9
Totaal;vrijdag;2011;Groningen;1883;58,8
Totaal;vrijdag;2012;Groningen;1752;50,3
Totaal;vrijdag;2013;Groningen;1654;50,8
Totaal;vrijdag;2014;Groningen;1907;55
Totaal;vrijdag;2010;Friesland;2004;57,9
Totaal;vrijdag;2011;Friesland;1679;51,7
Totaal;vrijdag;2012;Friesland;1442;44,8
Totaal;vrijdag;2013;Friesland;1869;51
Totaal;vrijdag;2014;Friesland;1878;60
Totaal;vrijdag;2010;Drenthe;1677;52,2
Totaal;vrijdag;2011;Drenthe;2019;56,9
Totaal;vrijdag;2012;Drenthe;1875;52,4
Totaal;vrijdag;2013;Drenthe;1772;48,7
Totaal;vrijdag;2014;Drenthe;2347;58,3
Totaal;vrijdag;2010;Overijssel;1723;56,4
Totaal;vrijdag;2011;Overijssel;1830;56,1
Totaal;vrijdag;2012;Overijssel;1508;50,1
Totaal;vrijdag;2013;Overijssel;1764;51,6
Totaal;vrijdag;2014;Overijssel;1712;55,9
Totaal;vrijdag;2010;Flevoland;2178;58,4
Totaal;vrijdag;2011;Flevoland;1796;55,3
Totaal;vrijdag;2012;Flevoland;1764;54,7
Totaal;vrijdag;2013;Flevoland;1740;51,8
Totaal;vrijdag;2014;Flevoland;1919;56,5
Totaal;vrijdag;2010;Gelderland;1618;56,1
Totaal;vrijdag;2011;Gelderland;1663;53
Totaal;vrijdag;2012;Gelderland;1617;52,1
Totaal;vrijdag;2013;Gelderland;1567;50,5
Totaal;vrijdag;2014;Gelderland;1507;47,8
Totaal;vrijdag;2010;Utrecht;1277;48,7
Totaal;vrijdag;2011;Utrecht;1769;57,8
Totaal;vrijdag;2012;Utrecht;1729;56,6
Totaal;vrijdag;2013;Utrecht;1547;52,5
Totaal;vrijdag;2014;Utrecht;1671;54,7
Totaal;vrijdag;2010;Noord-Holland;1402;56
Totaal;vrijdag;2011;Noord-Holland;1784;61,3
Totaal;vrijdag;2012;Noord-Holland;1577;58
Totaal;vrijdag;2013;Noord-Holland;1416;53,5
Totaal;vrijdag;2014;Noord-Holland;1657;56,7
Totaal;vrijdag;2010;Zuid-Holland;1412;54,8
Totaal;vrijdag;2011;Zuid-Holland;1510;57,8
Totaal;vrijdag;2012;Zuid-Holland;1421;52
Totaal;vrijdag;2013;Zuid-Holland;1528;53,7
Totaal;vrijdag;2014;Zuid-Holland;1403;54,6
Totaal;vrijdag;2010;Zeeland;1696;46,4
Totaal;vrijdag;2011;Zeeland;1596;48,1
Totaal;vrijdag;2012;Zeeland;1668;49,3
Totaal;vrijdag;2013;Zeeland;1977;57,3
Totaal;vrijdag;2014;Zeeland;1721;51
Totaal;vrijdag;2010;Noord-Brabant;1655;58,3
Totaal;vrijdag;2011;Noord-Brabant;1677;52,6
Totaal;vrijdag;2012;Noord-Brabant;1652;52,6
Totaal;vrijdag;2013;Noord-Brabant;1634;50,7
Totaal;vrijdag;2014;Noord-Brabant;1580;52,2
Totaal;vrijdag;2010;Limburg;1517;49,8
Totaal;vrijdag;2011;Limburg;1422;45,1
Totaal;vrijdag;2012;Limburg;1330;52,5
Totaal;vrijdag;2013;Limburg;1427;47,1
